SEXO,RACACOR,ESTCIV,ESC
F,branca,viúvo,4-7 anos
M,parda,viúvo,4-7 anos
M,branca,viúvo,4-7 anos
F,preta,casado,4-7 anos
F,branca,viúvo,ignorado
F,parda,casado,1-3 anos
M,branca,solteiro,4-7 anos
F,branca,solteiro,12+
M,branca,solteiro,nenhuma
F,branca,casado,4-7 anos
F,preta,ignorado,ignorado
M,parda,casado,ignorado
F,branca,casado,12+
F,branca,viúvo,nenhuma
F,branca,viúvo,4-7 anos
M,preta,casado,1-3 anos
M,parda,casado,1-3 anos
M,branca,casado,4-7 anos
F,branca,solteiro,1-3 anos
F,parda,viúvo,4-7 anos
F,branca,casado,4-7 anos
M,parda,casado,4-7 anos
M,branca,viúvo,4-7 anos
F,branca,solteiro,12+
F,branca,solteiro,12+
F,branca,solteiro,12+
F,branca,solteiro,8-11 anos
F,parda,solteiro,12+
M,branca,sep. judicialmente,12+
F,preta,viúvo,12+
M,branca,viúvo,4-7 anos
M,branca,casado,1-3 anos
F,branca,viúvo,1-3 anos
M,parda,casado,1-3 anos
F,parda,solteiro,4-7 anos
M,branca,casado,ignorado
M,branca,casado,1-3 anos
M,branca,viúvo,nenhuma
F,branca,viúvo,ignorado
F,parda,casado,1-3 anos
F,parda,viúvo,1-3 anos
F,branca,viúvo,1-3 anos
M,branca,casado,8-11 anos
F,parda,viúvo,1-3 anos
F,branca,solteiro,nenhuma
M,parda,solteiro,4-7 anos
F,branca,viúvo,8-11 anos
M,preta,casado,8-11 anos
F,parda,casado,ignorado
F,branca,viúvo,12+
M,branca,casado,ignorado
M,parda,viúvo,1-3 anos
M,parda,sep. judicialmente,8-11 anos
M,preta,casado,1-3 anos
F,parda,sep. judicialmente,8-11 anos
F,branca,viúvo,ignorado
M,branca,casado,8-11 anos
M,branca,casado,ignorado
F,parda,solteiro,nenhuma
M,parda,viúvo,4-7 anos
F,branca,solteiro,4-7 anos
F,preta,solteiro,1-3 anos
F,branca,viúvo,4-7 anos
M,branca,casado,4-7 anos
F,parda,viúvo,4-7 anos
M,parda,solteiro,4-7 anos
M,branca,casado,4-7 anos
F,preta,viúvo,4-7 anos
F,branca,sep. judicialmente,12+
M,parda,solteiro,4-7 anos
M,preta,casado,4-7 anos
F,parda,viúvo,4-7 anos
M,parda,solteiro,4-7 anos
M,branca,casado,1-3 anos
M,parda,casado,1-3 anos
M,branca,casado,nenhuma
M,parda,viúvo,4-7 anos
F,branca,viúvo,4-7 anos
M,branca,viúvo,12+
F,branca,viúvo,nenhuma
F,branca,solteiro,8-11 anos
M,branca,sep. judicialmente,4-7 anos
M,parda,viúvo,4-7 anos
F,parda,viúvo,nenhuma
F,branca,viúvo,1-3 anos
F,branca,solteiro,4-7 anos
F,parda,casado,8-11 anos
F,parda,viúvo,8-11 anos
M,parda,solteiro,4-7 anos
M,parda,solteiro,1-3 anos
M,parda,solteiro,1-3 anos
F,parda,solteiro,1-3 anos
F,parda,solteiro,4-7 anos
M,branca,casado,4-7 anos
F,parda,casado,nenhuma
M,parda,viúvo,12+
M,parda,casado,1-3 anos
F,branca,viúvo,12+
F,preta,casado,4-7 anos
F,parda,viúvo,4-7 anos
F,parda,sep. judicialmente,4-7 anos
M,branca,casado,nenhuma
F,branca,viúvo,nenhuma
M,branca,viúvo,1-3 anos
M,parda,solteiro,8-11 anos
M,preta,casado,4-7 anos
M,branca,solteiro,4-7 anos
F,parda,solteiro,4-7 anos
M,branca,casado,4-7 anos
F,branca,viúvo,4-7 anos
F,parda,viúvo,4-7 anos
F,branca,casado,12+
M,branca,solteiro,12+
F,branca,viúvo,1-3 anos
F,preta,viúvo,1-3 anos
F,parda,solteiro,4-7 anos
F,parda,viúvo,nenhuma
F,branca,viúvo,nenhuma
F,parda,viúvo,4-7 anos
M,preta,solteiro,1-3 anos
